HumanGeneID,Symbol,Description,MitoCarta3.0_MitoPathways
23203,PMPCA,"peptidase, mitochondrial processing subunit alpha","Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
506,ATP5F1B,ATP synthase F1 subunit beta,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
135154,SDHAF4,succinate dehydrogenase complex assembly factor 4,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
29796,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
81689,ISCA1,iron-sulfur cluster assembly 1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
8803,SUCLA2,succinate-CoA ligase ADP-forming subunit beta,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
51805,COQ3,"coenzyme Q3, methyltransferase",Metabolism > Metals and cofactors > Coenzyme Q metabolism
55699,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
64960,MRPS15,mitochondrial ribosomal protein S15,Mitochondrial central dogma > Translation > Mitochondrial ribosome
3419,IDH3A,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,Metabolism > Carbohydrate metabolism > TCA cycle
1353,COX11,cytochrome c oxidase copper chaperone COX11,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
2110,ETFDH,electron transfer flavoprotein dehydrogenase,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
26519,TIMM10,translocase of inner mitochondrial membrane 10,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
64981,MRPL34,mitochondrial ribosomal protein L34,Mitochondrial central dogma > Translation > Mitochondrial ribosome
51069,MRPL2,mitochondrial ribosomal protein L2,Mitochondrial central dogma > Translation > Mitochondrial ribosome
593,BCKDHA,branched chain keto acid dehydrogenase E1 subunit alpha,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
7388,UQCRH,ubiquinol-cytochrome c reductase hinge protein,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
192286,HIGD2A,HIG1 hypoxia inducible domain family member 2A,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly
539,ATP5PO,ATP synthase peripheral stalk subunit OSCP,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
1892,ECHS1,"enoyl-CoA hydratase, short chain 1",Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism
25875,LETMD1,LETM1 domain containing 1,Small molecule transport
1337,COX6A1,cytochrome c oxidase subunit 6A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
1355,COX15,cytochrome c oxidase assembly homolog COX15,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors
10939,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
3030,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
2108,ETFA,electron transfer flavoprotein subunit alpha,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
374291,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
1376,CPT2,carnitine palmitoyltransferase 2,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle
594,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
3420,IDH3B,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,Metabolism > Carbohydrate metabolism > TCA cycle
23395,LARS2,"leucyl-tRNA synthetase 2, mitochondrial",Mitochondrial central dogma > Translation > mt-tRNA synthetases
35,ACADS,acyl-CoA dehydrogenase short chain,Metabolism > Lipid metabolism > Fatty acid oxidation
3954,LETM1,leucine zipper and EF-hand containing transmembrane protein 1,Signaling > Calcium homeostasis > Calcium cycle
521,ATP5ME,ATP synthase membrane subunit e,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation
4976,OPA1,OPA1 mitochondrial dynamin like GTPase,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Cristae formation
549,AUH,AU RNA binding methylglutaconyl-CoA hydratase,Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
8802,SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
4729,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
51004,COQ6,"coenzyme Q6, monooxygenase",Metabolism > Metals and cofactors > Coenzyme Q metabolism
84545,MRPL43,mitochondrial ribosomal protein L43,Mitochondrial central dogma > Translation > Mitochondrial ribosome
83451,ABHD11,abhydrolase domain containing 11,Metabolism > Carbohydrate metabolism > TCA-associated
522,ATP5PF,ATP synthase peripheral stalk subunit F6,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
4714,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
9361,LONP1,"lon peptidase 1, mitochondrial","Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
1738,DLD,dihydrolipoamide dehydrogenase,Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
9131,AIFM1,apoptosis inducing factor mitochondria associated 1,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis"
79746,ECHDC3,enoyl-CoA hydratase domain containing 3,0
139322,APOOL,apolipoprotein O like,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
124995,MRPL10,mitochondrial ribosomal protein L10,Mitochondrial central dogma > Translation > Mitochondrial ribosome
92399,MRRF,mitochondrial ribosome recycling factor,Mitochondrial central dogma > Translation > Translation factors
4728,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
34,ACADM,acyl-CoA dehydrogenase medium chain,Metabolism > Lipid metabolism > Fatty acid oxidation
10989,IMMT,inner membrane mitochondrial protein,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
26520,TIMM9,translocase of inner mitochondrial membrane 9,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
291,SLC25A4,solute carrier family 25 member 4,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
25813,SAMM50,SAMM50 sorting and assembly machinery component,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
4720,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
4723,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
50,ACO2,aconitase 2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins
6832,SUPV3L1,Suv3 like RNA helicase,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
2235,FECH,ferrochelatase,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S-containing proteins
4528,MTIF2,mitochondrial translational initiation factor 2,Mitochondrial central dogma > Translation > Translation factors
5245,PHB,prohibitin,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
26275,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
51116,MRPS2,mitochondrial ribosomal protein S2,Mitochondrial central dogma > Translation > Mitochondrial ribosome
3313,HSPA9,heat shock protein family A (Hsp70) member 9,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
6834,SURF1,SURF1 cytochrome c oxidase assembly factor,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
10935,PRDX3,peroxiredoxin 3,Metabolism > Detoxification > ROS and glutathione metabolism
27069,GHITM,growth hormone inducible transmembrane protein,Mitochondrial dynamics and surveillance > Apoptosis
60558,GUF1,"GUF1 homolog, GTPase",Mitochondrial central dogma > Translation
26517,TIMM13,translocase of inner mitochondrial membrane 13,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
57128,LYRM4,LYR motif containing 4,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
54948,MRPL16,mitochondrial ribosomal protein L16,Mitochondrial central dogma > Translation > Mitochondrial ribosome
64976,MRPL40,mitochondrial ribosomal protein L40,Mitochondrial central dogma > Translation > Mitochondrial ribosome
3421,IDH3G,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,Metabolism > Carbohydrate metabolism > TCA cycle
6391,SDHC,succinate dehydrogenase complex subunit C,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
4711,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
54949,SDHAF2,succinate dehydrogenase complex assembly factor 2,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
93058,COQ10A,coenzyme Q10A,Metabolism > Metals and cofactors > Coenzyme Q metabolism
8209,GATD3A,glutamine amidotransferase like class 1 domain containing 3A,0
25828,TXN2,thioredoxin 2,Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
55168,MRPS18A,mitochondrial ribosomal protein S18A,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1345,COX6C,cytochrome c oxidase subunit 6C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
4715,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
23788,MTCH2,mitochondrial carrier 2,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fusion
4700,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
788,SLC25A20,solute carrier family 25 member 20,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle | Small molecule transport > SLC25A family
65008,MRPL1,mitochondrial ribosomal protein L1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
10469,TIMM44,translocase of inner mitochondrial membrane 44,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
10063,COX17,cytochrome c oxidase copper chaperone COX17,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
440574,MICOS10,mitochondrial contact site and cristae organizing system subunit 10,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
6648,SOD2,superoxide dismutase 2,Metabolism > Detoxification > ROS and glutathione metabolism
1340,COX6B1,cytochrome c oxidase subunit 6B1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
7416,VDAC1,voltage dependent anion channel 1,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Mitochondrial dynamics and surveillance > Organelle contact sites | Small molecule transport
8192,CLPP,caseinolytic mitochondrial matrix peptidase proteolytic subunit,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
3033,HADH,hydroxyacyl-CoA dehydrogenase,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism
33,ACADL,acyl-CoA dehydrogenase long chain,Metabolism > Lipid metabolism > Fatty acid oxidation
38,ACAT1,acetyl-CoA acetyltransferase 1,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism
115416,MALSU1,mitochondrial assembly of ribosomal large subunit 1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
10845,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit X,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
4724,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
51073,MRPL4,mitochondrial ribosomal protein L4,Mitochondrial central dogma > Translation > Mitochondrial ribosome
708,C1QBP,complement C1q binding protein,Signaling > Immune response
10531,PITRM1,pitrilysin metallopeptidase 1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
55245,UQCC1,ubiquinol-cytochrome c reductase complex assembly factor 1,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
128308,MRPL55,mitochondrial ribosomal protein L55,Mitochondrial central dogma > Translation > Mitochondrial ribosome
79922,MRM1,mitochondrial rRNA methyltransferase 1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
51102,MECR,mitochondrial trans-2-enoyl-CoA reductase,Metabolism > Lipid metabolism > Type II fatty acid synthesis
65080,MRPL44,mitochondrial ribosomal protein L44,Mitochondrial central dogma > Translation > Mitochondrial ribosome
84263,HSDL2,hydroxysteroid dehydrogenase like 2,0
63931,MRPS14,mitochondrial ribosomal protein S14,Mitochondrial central dogma > Translation > Mitochondrial ribosome
11194,ABCB8,ATP binding cassette subfamily B member 8,Small molecule transport > ABC transporters
91647,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
4704,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
388753,COA6,cytochrome c oxidase assembly factor 6,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
5442,POLRMT,RNA polymerase mitochondrial,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription
23479,ISCU,iron-sulfur cluster assembly enzyme,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
84816,RTN4IP1,reticulon 4 interacting protein 1,0
55753,OGDHL,oxoglutarate dehydrogenase L,Metabolism > Carbohydrate metabolism > TCA cycle
509,ATP5F1C,ATP synthase F1 subunit gamma,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
10295,BCKDK,branched chain keto acid dehydrogenase kinase,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
84340,GFM2,GTP dependent ribosome recycling factor mitochondrial 2,Mitochondrial central dogma > Translation > Translation factors
29078,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
399512,SLC25A35,solute carrier family 25 member 35,Small molecule transport > SLC25A family
8402,SLC25A11,solute carrier family 25 member 11,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family
26521,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
27349,MCAT,malonyl-CoA-acyl carrier protein transacylase,Metabolism > Lipid metabolism > Type II fatty acid synthesis
200205,IBA57,iron-sulfur cluster assembly factor IBA57,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
11331,PHB2,prohibitin 2,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
7818,DAP3,death associated protein 3,Mitochondrial central dogma > Translation > Mitochondrial ribosome
56942,CMC2,C-X9-C motif containing 2,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
644096,SDHAF1,succinate dehydrogenase complex assembly factor 1,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
51373,MRPS17,mitochondrial ribosomal protein S17,Mitochondrial central dogma > Translation > Mitochondrial ribosome
137872,ADHFE1,alcohol dehydrogenase iron containing 1,Metabolism > Amino acid metabolism > GABA metabolism
9054,NFS1,NFS1 cysteine desulfurase,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
79133,NDUFAF5,NADH:ubiquinone oxidoreductase complex assembly factor 5,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
63875,MRPL17,mitochondrial ribosomal protein L17,Mitochondrial central dogma > Translation > Mitochondrial ribosome
51204,TACO1,translational activator of cytochrome c oxidase I,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
55669,MFN1,mitofusin 1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites
160760,PPTC7,protein phosphatase targeting COQ7,Signaling
65003,MRPL11,mitochondrial ribosomal protein L11,Mitochondrial central dogma > Translation > Mitochondrial ribosome
1327,COX4I1,cytochrome c oxidase subunit 4I1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
4726,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
28998,MRPL13,mitochondrial ribosomal protein L13,Mitochondrial central dogma > Translation > Mitochondrial ribosome
5019,OXCT1,3-oxoacid CoA-transferase 1,Metabolism > Carbohydrate metabolism > Ketone metabolism
1329,COX5B,cytochrome c oxidase subunit 5B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
5164,PDK2,pyruvate dehydrogenase kinase 2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
211,ALAS1,5'-aminolevulinate synthase 1,Metabolism > Metals and cofactors > Heme synthesis and processing
9553,MRPL33,mitochondrial ribosomal protein L33,Mitochondrial central dogma > Translation > Mitochondrial ribosome
25821,MTO1,mitochondrial tRNA translation optimization 1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
11019,LIAS,lipoic acid synthetase,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins
4698,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
4712,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
10651,MTX2,metaxin 2,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
8801,SUCLG2,succinate-CoA ligase GDP-forming subunit beta,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
